text,label
it worked for the first week then it only charge my phone to 20%. it is a waste of money.,Negative
"I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 70 ma.Griffin was charging with 40 ma! And the griffin was 4 times more expensive.I have not used these for veryery long. I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last. I assume they will work fine. I have not been using them much. I did the testing , just to stock up on a high current charger. This passed and I stocked up.",Negative
"just what you need, I am always having to charge my phone and then find I have another item to charge also.",Negative
"does not have the need amps to charge things like ipads, or hp touchpads. but its super small and compact.",Negative
"I have several chargers. Have more than one veryehicle so I keep more than one of these in each. Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone. That is always when you need it most.  This one works well for any of my products.",Negative
I am disappointed that the 1A did not work with my iPad.  That is what I get for buying a cheap adapter.,Negative
After a week only one side works,Negative
"Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it is the same problem. Cheap and bad quality.",Negative
Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling,Negative
"I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.",Negative
"I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system",Negative
Bought so we could charge to phones at the same time while in the car from the same port.  Works.,Negative
"I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.  But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all would), but the design is gorgeous and a little 3D looking!",Negative
this cover makes an old phone look and feel new. I like that I can order covers for little money and snazzy up my phone.,Negative
It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again,Negative
"so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.",Negative
I purchase this for a backup at work.  It charges my SGS4.  I would recommend this charger for the Samsung Galaxy S4.,Negative
"I purchased two of these chargers for my sister and girlfriend. They both have Samsung Galaxy phones and needed a car charger so being the OEM fanboy I am, I swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price.I am happy to report I definitely received 2 OEM Samsung car chargers in the mail in sealed bags with part # barcodes (the kind you would normally receive in a new/refurb phone). Ca not go wrong with the price and certainly can not argue with the benefits of OEM verys. generic (mA output and reliability at the top of the list!).",Negative
"The Samsung car charger has stopped working within a 6 month period.  I thought a fuse was blown inside the unit but when I attempted to change it, I have noticed that it does not come apart like most veryehicle chargers.",Negative
Plugged into the car and worked the first couple of days. Has not worked since. My phone does not even recognize it is plugged in.,Negative
It is Samsung brand..works with my Android phones..Galaxy Nexus 4 and Galaxy S2 and S3...recommend it highly for anyone with a microUSB phone,Negative
I needed a car charger and this was veryery affordable and it worksgreat! The same thing from the store was three times the price.,Negative
You have to hold it in a certain place in other for it to charge. I will just buy the Verizon  charger instead,Negative
"I have been using this for about 4 months now and it works just as it is intended.  I would buy again.  Quality product.The cord could stand to be a little longer, but it is of a decent length.",Negative
I have had 3 phone chargers go bad in two weeks. I can not say where I purchased them. Most chargers for cell phones are cheaply made. This one is OK I guess.,Negative
"Got this to replace a frayed OEM cord. The cord itself is ok ;however, the plug that looks like OEM and is stamped as such, is crap! Took 8 times longer to charge with this unit! When the cord was paired with the actual OEM plug in, it worked fine. So if you need a cord its ok; however, it is definitely not OEM and the plug is worthless. For the price and really just needing a cord it is a good veryalue but I am veryery disappointed with the false markings as OEM when it is certainly not.",Negative
"I received this product in a veryery timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item. I was reimbursed for the product but would have much rather had a product that worked the first time.",Negative
"fast delivery, works well. Not veryery long.",Negative
Had all the marking of a legit samsung product but the cord stop working after 3 days. I am not upset because it was veryery inexpensive but maybe you should spend a little more and buy a better product off amazon. When it did work it worked veryery well.,Negative
"although i do not use the charger, the cable is useful.  it is longer than what is given with the phone.  the additional length allows the phone to be placed in plain sight, instead of down by the wall receptical",Negative
